company,location,tag,gender,yoe_total,tc,base,country,state
Facebook,"Seattle, WA",Distributed Systems (Back-End),Male,10.0,375000.0,185000.0,United States,Washington
Microsoft,"Sunnyvale, CA",ML / AI,Male,5.0,270000.0,180000.0,United States,California
Microsoft,"Redmond, WA",API Development (Back-End),Male,19.0,265000.0,180000.0,United States,Washington
Microsoft,"Redmond, WA",Distributed Systems (Back-End),Male,11.0,220000.0,160000.0,United States,Washington
Capital One,"Plano, TX",iOS,Male,9.0,110000.0,105000.0,United States,Texas
Amazon,"Seattle, WA",Full Stack,Male,1.0,157000.0,122000.0,United States,Washington
Qualcomm,"San Diego, CA",modem fw,Female,6.0,190000.0,140000.0,United States,California
Qualcomm,"San Diego, CA",camera sw,Male,5.0,176000.0,126000.0,United States,California
Uber,"San Francisco, CA",API Development (Back-End),Male,6.0,256000.0,155000.0,United States,California
Microsoft,"Redmond, WA",Distributed Systems (Back-End),Male,3.0,190000.0,135000.0,United States,Washington
Salesforce,"San Francisco, CA",Distributed Systems (Back-End),Female,1.0,174000.0,140000.0,United States,California
Google,"Seattle, WA",Web Development (Front-End),Male,3.0,277000.0,138000.0,United States,Washington
Google,"Mountain View, CA",API Development (Back-End),Male,10.0,365000.0,187000.0,United States,California
Oracle,"Hyderabad, TS, India",Full Stack,Male,0.0,34000.0,20000.0,India,Telangana
Microsoft,"Seattle, WA",Full Stack,Male,3.0,228000.0,145000.0,United States,Washington
Apple,"Sunnyvale, CA",Distributed Systems (Back-End),Male,0.0,160000.0,120000.0,United States,California
Microsoft,"Redmond, WA",Distributed Systems (Back-End),Male,2.0,231000.0,130000.0,United States,Washington
Amazon,"New York, NY",Full Stack,Male,1.0,180000.0,152000.0,United States,New York
Amazon,"Boston, MA",Embedded,Male,0.0,147000.0,112000.0,United States,Massachusetts
Microsoft,"Bellevue, WA",Distributed Systems (Back-End),Male,20.0,268000.0,178000.0,United States,Washington
Microsoft,"Redmond, WA",ML / AI,Male,3.0,175000.0,120000.0,United States,Washington
Amazon,"Newark, NJ",Data Engineering,Male,3.0,217000.0,133000.0,United States,New Jersey
Amazon,"Seattle, WA",Full Stack,Male,0.0,142000.0,112000.0,United States,Washington
Cisco,"Seattle, WA",Security,Male,10.0,260000.0,200000.0,United States,Washington
Facebook,"Menlo Park, CA",Mobile (iOS + Android),Male,8.0,237000.0,155000.0,United States,California
Microsoft,"Redmond, WA",Security,Female,0.0,174000.0,131000.0,United States,Washington
Amazon,"Seattle, WA",New Grad,Male,0.0,142000.0,112000.0,United States,Washington
Amazon,"Palo Alto, CA",Full Stack,Male,4.0,262000.0,180000.0,United States,California
Lyft,"San Francisco, CA",Distributed Systems (Back-End),Male,15.0,460000.0,225000.0,United States,California
Salesforce,"San Francisco, CA",Distributed Systems (Back-End),Male,13.0,310000.0,230000.0,United States,California
Oracle,"Boulder, CO",DevOps,Male,7.0,115000.0,115000.0,United States,Colorado
Google,"San Bruno, CA",Web Development (Front-End),Female,9.0,327000.0,180000.0,United States,California
Google,"Sunnyvale, CA",Distributed Systems (Back-End),Male,13.0,330000.0,188000.0,United States,California
Google,"Sunnyvale, CA",Distributed Systems (Back-End),Male,13.0,330000.0,188000.0,United States,California
Microsoft,"Redmond, WA",Support,Male,3.0,122000.0,107000.0,United States,Washington
Cisco,"San Jose, CA",Distributed Systems (Back-End),Male,4.0,161000.0,140000.0,United States,California
Apple,"Cupertino, CA",ML / AI,Male,0.0,257000.0,170000.0,United States,California
Google,"San Francisco, CA",Full Stack,Male,15.0,590000.0,240000.0,United States,California
Facebook,"London, EN, United Kingdom",Infra,Male,8.0,198000.0,112000.0,United Kingdom,England
Microsoft,"Hyderabad, TS, India",Networking,Male,12.0,45000.0,35000.0,India,Telangana
Google,"Los Angeles, CA",API Development (Back-End),Male,3.0,217000.0,140000.0,United States,California
Microsoft,"Redmond, WA",Full Stack,Male,1.0,160000.0,122000.0,United States,Washington
Salesforce,"San Francisco, CA",Web Development (Front-End),Male,18.0,486000.0,280000.0,United States,California
Google,"New York, NY",Distributed Systems (Back-End),Male,8.0,375000.0,191000.0,United States,New York
Lyft,"San Francisco, CA",Distributed Systems (Back-End),Male,5.0,371000.0,186000.0,United States,California
JPMorgan Chase,"Columbus, OH",Full Stack,Male,0.0,80000.0,80000.0,United States,Ohio
Google,"Kirkland, WA",Full Stack,Male,0.0,166000.0,113000.0,United States,Washington
Microsoft,"Reading, EN, United Kingdom",API Development (Back-End),Male,6.0,119000.0,92000.0,United Kingdom,England
Amazon,"Seattle, WA",API Development (Back-End),Male,2.0,165000.0,130000.0,United States,Washington
Microsoft,"Redmond, WA",DevOps,Male,3.0,174000.0,143000.0,United States,Washington
Microsoft,"Redmond, WA",Full Stack,Male,1.0,153000.0,120000.0,United States,Washington
Microsoft,"Redmond, WA",Web Development (Front-End),Male,1.0,170000.0,122000.0,United States,Washington
Amazon,"Seattle, WA",Distributed Systems (Back-End),Male,8.0,247000.0,147000.0,United States,Washington
Cisco,"Bangalore, KA, India",Distributed Systems (Back-End),Male,3.0,28000.0,23000.0,India,Karnataka
Microsoft,"Seattle, WA",Distributed Systems (Back-End),Male,4.0,190000.0,150000.0,United States,Washington
Google,"Bellevue, WA",API Development (Back-End),Male,3.0,253000.0,144000.0,United States,Washington
Amazon,"Seattle, WA",Full Stack,Male,20.0,244000.0,159000.0,United States,Washington
Capital One,"San Francisco, CA",Full Stack,Male,3.0,127000.0,119000.0,United States,California
Apple,"Cupertino, CA",Silicon validation,Male,23.0,425000.0,217000.0,United States,California
Amazon,"Newark, NJ",Full Stack,Male,8.0,285000.0,190000.0,United States,New Jersey
Oracle,"Seattle, WA",Distributed Systems (Back-End),Male,16.0,355000.0,200000.0,United States,Washington
Amazon,"New York, NY",Distributed Systems (Back-End),Male,1.0,157000.0,118000.0,United States,New York
Amazon,"Chennai, TN, India",Full Stack,Male,10.0,71000.0,35000.0,India,Tamil Nadu
JPMorgan Chase,"Houston, TX",Distributed Systems (Back-End),Male,5.0,125000.0,100000.0,United States,Texas
Amazon,"Seattle, WA",Distributed Systems (Back-End),Male,5.0,282000.0,160000.0,United States,Washington
Google,"Sunnyvale, CA",ML / AI,Male,5.0,326000.0,164000.0,United States,California
Microsoft,"Redmond, WA",Full Stack,Male,4.0,153000.0,134000.0,United States,Washington
Google,"Sunnyvale, CA",Distributed Systems (Back-End),Male,0.0,264000.0,143000.0,United States,California
Amazon,"North Reading, MA",Robotics,Male,0.0,158000.0,112000.0,United States,Massachusetts
Amazon,"Madrid, MD, Spain",Full Stack,Male,0.0,58000.0,45000.0,Spain,Community of Madrid
Google,"Sunnyvale, CA",Distributed Systems (Back-End),Male,8.0,339000.0,185000.0,United States,California
Apple,"Cupertino, CA",ML / AI,Male,1.0,273000.0,180000.0,United States,California
